R,182.5,err,187.5,err,192.5,err,197.5,err,202.5,err,207.5,err,212.5,err,217.5,err
mm,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
362.24,83884.71,7866.86,72147.73,6335.11,106356.76,6434.35,89315.77,7108.37,87355.26,6761.72,93051.81,7637.6,90365.25,8227.37,86797.97,11020.96
392.87,95285.45,6126.95,84023.69,4937.79,108798.1,4096.78,105269.7,4872.6,92274.13,5191.03,86919.16,4639.6,92683.49,5032.55,101658.46,6891.12
423.79,103609.63,5579.59,108947.22,4725.48,122582.97,4813.43,114381.62,4782.42,108266.12,6052.32,110540.59,6301.13,105553.46,5378.81,119508.08,5911.36
453.28,106636.99,5534.05,107585.92,4434.65,127639.52,5617.25,123836.86,5563.03,108931.66,5990.18,113861.07,5802.18,115776.5,6795.17,128595.24,5835.36
481.85,104430.52,4971.99,103398.81,4730.43,125647.12,3945.84,119476.5,4256.6,103705.5,4980.55,114142.34,4308.83,126103.22,4550.52,130273.78,5712
507.67,96112.98,5188.69,102239.25,4589.82,123209.35,4643.93,122814,4202.85,97257.5,6132.09,116980.6,5322.02,122548.25,5207.13,134514.55,6773.23
532.11,75411.29,4285.93,76962.84,4579.96,106244.24,4370.41,--,--,97132.73,5463.38,--,--,107940.14,5352.76,--,--
590,28730.5,2725.42,18659.07,2666.38,35055.04,2107.25,32605.41,1652.96,12061.25,3200.52,18020.18,2651.81,18191.83,1479.6,27125.16,3697.85
